"land", "happiness","gdpca","kontinent","befolkning","militaryspending","lifespan","trust"
"Algeria",	75.5, 7564.391141, 0, 36036159, 3.502365342, 76, 17.2
"Azerbaijan",	80.6, 8912.370497, 1, 9099893, 2.79053338, 70.1, 14.8
"Argentina",	86.4, 14362.61581, 5, 41222875, 0.9386164015, 75.8, 19.2
"Armenia", 82, 4900.474333, 1, 2963496, 4.226593624, 73, 10.9
"Belarus",	63.7, 12504.80624, 2, 9492122, 1.390475577, 70.2, 32.6
"Chile",	84.5, 14540.16023, 5, 17015048, 3.041548162, 78.5, 12.4
"Cyprus",	81.7, 25961.04672, 2, 1103685, 2.066991125, 80.6, 7.5
"Estonia",	76.7, 16614.64714, 2, 1332089, 1.740618005, 76.4, 39
"Ghana",	80.8, 1478.462669, 0, 24317734, 0.3887701987, 62.9, 5
"Haiti",	83.5, 992.4278918, 3, 9999617, 0.09207198802, 61.24, 21.3
"Iraq",	68, 3194.948651, 1, 30868156, 4.415103095, 67.3, 30
"Japan",	86.5, 30965.40566, 1, 127319802, 0.9954891638, 82.7, 35.9
"Kuwait",	91.6, 45622.71886, 1, 3059473, 3.796935511, 78.5, 28.5
"Kyrgyzstan",	95.9, 2008.327256, 1, 5464567, 4.206575054, 67.9, 36.3
"Malaysia",	96, 13213.89747, 1, 28119500, 1.622659995, 74.4, 8.5
"Mexico",	94.3, 12440.93981, 3, 118617542, 0.5226493451, 75.4, 12.4
"New Zealand",	92.4, 24818.03156, 4, 4369027, 1.125008205, 80.8, 55.3
"Nigeria",	84.7, 2134.945536, 0, 159424742, 1.0106711, 61.2, 15
"Peru",	76, 8558.359098, 5, 29373644, 1.272489932, 78.4, 8.4
"Philippines",	89.4, 3560.49503, 1, 93038902, 1.22159432, 70.1, 3.2
"Romania",	69, 10920.97585, 2, 20298838, 1.290787322, 73.7, 7.7
"Russia",	73.3, 14198.97165, 2, 143158099, 3.942642582, 68.9, 27.8
"Slovenia",	83.3, 25052.85592, 2, 2052480, 1.646158502, 79.5, 19.9
"South Africa",	76.4, 9496.878744, 0, 51621594, 1.273937283, 54.9, 23.3
"Sweden",	94.6, 33995.91437, 2, 9382297, 1.273741729, 81.6, 60.1
"Tunisia",	79.3, 8508.465925, 0, 10639194, 1.271268078, 77.1, 15.5
"Turkey",	83.8, 12564.03914, 1, 72310416, 2.414180536, 78.8, 11.6
"Egypt",	26, 5543.537227, 0, 82040994, 1.998508205, 70.1, 21.5
"Uruguay",	86, 12641.94091, 5, 3374414, 1.999428062, 76.2, 13.8
"Uzbekistan",	96, 2753.560421, 1, 27739764, 0.5383990248, 70.2, 13.9
